Activity Period,Revenue Passenger Volume,Freight Volume,Mail Volume,Total Flights
2021-01-01,611259,61865.0235,3521.0,7584
2021-02-01,490626,59431.428,2764.8265,6651
2021-03-01,564526,71477.8475,2577.0190000000002,7458
2021-04-01,954353,77971.272,3391.678,9806
2021-05-01,1116420,79335.923,3478.53,11690
2021-06-01,1461523,75854.9135,2979.8065,13122
2021-07-01,1751383,82669.18000000001,3421.713,14231
2021-08-01,1927236,83060.437,2697.0445,14363
2021-09-01,1546092,85006.304,2895.3625,13356
2021-10-01,1488641,88585.251,3225.385,13605
2021-11-01,1747351,81529.2165,2935.967,16130
2021-12-01,1800794,86229.778,3721.0765,16555
2022-01-01,1507015,73120.9455,2786.0365,16373
2022-02-01,1536943,65406.0205,2681.7125,15804
2022-03-01,2168453,80145.737,2718.751,18400
2022-04-01,2289310,77814.161,2726.3305,18044
2022-05-01,2429078,78493.582,2651.456,19080
2022-06-01,2502614,77657.903,2935.694,19124
2022-07-01,2764798,78824.14,2470.389,20291
2022-08-01,2794191,79786.602,2504.255,20191
2022-09-01,2549927,77073.938,2815.246,19315
2022-10-01,2542057,84018.3585,2993.7765,19718
2022-11-01,2315851,78780.2555,2797.4505,19036
2022-12-01,2320458,82190.77249999999,3111.2495,18939
2023-01-01,2273636,67744.841,2084.8075,18832
2023-02-01,2007887,65215.319,2455.4995,17556
2023-03-01,2597725,82079.979,2494.6455,20555
2023-04-01,2666065,80137.4775,2206.3445,20144
2023-05-01,2741721,83701.621,2310.5455,21067
2023-06-01,2709801,85187.5255,2222.5985,20106
2023-07-01,2978461,88546.475,2046.452,20542
2023-08-01,3073841,94464.843,2144.788,21414
2023-09-01,2654020,94455.19,2124.3925,19614
2023-10-01,2659821,97721.162,2191.014,20361
2023-11-01,2401584,100905.1655,2405.4725,19354
2023-12-01,2477940,101181.549,2933.7535,19980
2024-01-01,2300694,88924.8205,2082.409,17930
2024-02-01,2071369,81799.2585,2139.0185,17108
2024-03-01,2562521,96486.4,2339.153,18984
2024-04-01,2637865,88936.219,2215.198,19341
2024-05-01,2755055,94814.1055,2159.725,20098
2024-06-01,2795154,88396.216,2261.857,20341
2024-07-01,3101076,96885.32949999999,2302.242,21311
2024-08-01,3153614,96453.804,2386.2215,20811
2024-09-01,2726095,95314.341,2492.495,19957
2024-10-01,2719759,100507.8185,2802.175,20101
2024-11-01,2372980,98151.3645,2785.8415,18731
2024-12-01,2572531,98760.376,3450.947,19555
